Repository,OfficialURL,Category,PrimaryRole,Stars,Forks,LastCommit,LatestRelease,Contributors,OpenIssues,Documentation,CodeLicense,WeightLicense,CommercialUse,Attribution,OSSupport,GPURequirement,CPUSupport,Installation,Docker,API,CLI,BatchSupport,Deterministic,Input,Output,VisualQuality,CharacterConsistency,TemporalConsistency,Controllability,AutomationReadiness,IntegrationDifficulty,MaintenanceRisk,SecurityRisk,KnownLimitations,RequiredCustomWork,RecommendedRole,Fallback,Verdict
MinervaRose/moonlit-showrunner,https://github.com/MinervaRose/moonlit-showrunner,B,AI short-film / animatic pipeline,1,0,2026-06,v0.7.3,1,0,Low,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,GPU,Yes,pip,No,No,Yes,Yes,Partial,Story premise,"Script, storyboard, animatic",6,6,5,7,7,5,5,5,Prototype; Sora-dependent,Adapt for local models,Pre-production reference,Custom,Audited
sankar2389/cine-studio,https://github.com/sankar2389/cine-studio,B,AI-native film pre-production,0,1,2026-07,-,1,10,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,npm/pnpm,Yes,Yes,Yes,Yes,Partial,Screenplay,"Storyboard, NLE export",6,5,5,7,7,6,5,5,Many deps; 21 providers; pre-pro only,MCP adapter,Pre-production hub,Custom,Candidate
bluefish2026/BlueFish,https://github.com/bluefish2026/BlueFish,B,Script to storyboard to video studio,0,0,2026-04,-,1,0,Low,Verify,n/a,Verify,None,Win/WSL2/Linux/macOS,GPU,Yes,npm/pip,Yes,Yes,Yes,Yes,No,Text idea,Storyboard + video,6,5,5,6,6,5,5,5,"Very early, license unclear",Audit license,Storyboard UI reference,Custom,Rejected
RishiDesai/CharForge,https://github.com/RishiDesai/CharForge,C,Character LoRA from single image,85,11,2025-06,-,1,0,Moderate,MIT,FLUX weights: non-commercial dev / Apache schnell,Code: Yes; weights: see note,Model card,Win/WSL2/Linux/macOS,24GB VRAM recommended,No training,Yes,pip,No,No,Yes,Yes,1 reference image,Character sheet + LoRA,8,9,7,6,7,5,5,5,Uses Together AI / fal.ai for caption/upscale; needs GPU,Localize captioning,Character LoRA training,kohya-ss/sd-scripts,Selected
IP-Consistency/Character-Adapter,https://github.com/IP-Consistency/Character-Adapter,C,Training-free character customization,0,0,2024-06,-,1,0,Low,Verify,Verify,Verify,Paper,Win/WSL2/Linux/macOS,GPU,Yes,TBD,No,No,No,No,Partial,Reference image + prompt,Character image,8,9,8,4,5,4,5,5,Code 'coming soon' since 2024; not usable,Wait or implement,Consistency research only,CharForge/PuLID,Rejected
kohya-ss/sd-scripts,https://github.com/kohya-ss/sd-scripts,C/D,LoRA/network training scripts,7173,1215,2026-07,v0.11.1,110,897,Extensive,Apache-2.0,Model dependent,Yes (code),None,Win/WSL2/Linux/macOS,8-24GB VRAM,Yes (slow),pip/venv,No,No,Yes,Yes,Yes,Image dataset + config,Trained LoRA/LyCORIS,n/a,n/a,n/a,5,9,7,6,4,Heavy config; steep learning curve,Train wrapper + docs,LoRA training backend,CharForge,Selected
orincolor/lora-pilot,https://github.com/orincolor/lora-pilot,C/D,Docker LoRA trainer bundle,0,0,2026-04,-,1,0,Moderate,Verify,n/a,Verify,None,Linux (Docker),24GB+,No training,Docker,Yes,No,Yes,Yes,Yes,Dataset,LoRA weights,n/a,n/a,n/a,5,8,7,5,5,Single contributor; license verify,Docker profile,LoRA training bundle,kohya-ss/sd-scripts,Candidate
Justin21523/anime-lora-pipeline,https://github.com/Justin21523/anime-lora-pipeline,C,Anime LoRA pipeline,0,0,2026-02,-,1,0,Low,Verify,n/a,Verify,None,Win/WSL2/Linux/macOS,GPU,Yes,pip,No,No,Yes,Yes,Yes,Anime video,LoRA + dataset,7,9,6,4,5,4,5,5,Anime-specific; not general cartoon,Adapt pipeline,Anime reference,CharForge,Candidate
Tencent-AILab/IP-Adapter,https://github.com/Tencent-AILab/IP-Adapter,C,Image prompt adapter (consistency),0,0,2024-02,-,10,0,Good,Apache-2.0,Model dependent,Yes,Model card,Win/WSL2/Linux/macOS,8GB+ VRAM,Yes,pip,No,No,Yes,Yes,Yes,Reference image + prompt,Conditioned image,7,8,7,6,7,6,5,4,Needs ComfyUI nodes; face structure may drift,ComfyUI node setup,Character consistency,CharForge LoRA,Selected
ToTheBeginning/PuLID,https://github.com/ToTheBeginning/PuLID,C,ID-preserving generation for FLUX,0,0,2025-02,-,5,0,Moderate,Apache-2.0,Verify,Yes,Model card,Win/WSL2/Linux/macOS,16GB+ VRAM,Yes,pip,No,No,Yes,Yes,Yes,Face image + prompt,ID-consistent image,8,9,8,5,6,5,5,4,Face-centric; body may drift,ComfyUI node setup,Face consistency,CharForge LoRA,Selected
black-forest-labs/flux,https://github.com/black-forest-labs/flux,D,Official FLUX.1 inference,0,0,2025-04,-,20,0,Excellent,Apache-2.0 (code),schnell Apache-2.0 / dev non-commercial,schnell: Yes; dev: No,Model card,Win/WSL2/Linux/macOS,12-24GB VRAM,No,pip,No,No,Yes,Yes,Yes,Prompt,Image 1024+,10,7,8,9,9,6,4,4,Dev weights non-commercial; high VRAM,ComfyUI wrapper,Primary image generator,FLUX schnell for commercial,Selected
comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,D/G,Node-based diffusion GUI/backend,72000,7800,2026-07,-,600,0,Excellent,GPL-3.0,Model dependent,Yes (code),Source,Win/WSL2/Linux/macOS,8GB+ VRAM,Yes (slow),pip,Yes,Yes,Yes,Yes,Yes,Workflow JSON,Image/video,9,8,8,9,9,7,5,4,GPL copyleft; steep node setup,Custom nodes + workflow manager,Image/video composition backbone,Raw diffusers,Selected
lucasgattas/ComfyUI-Egregora-Frames-Animation-Nodes,https://github.com/lucasgattas/ComfyUI-Egregora-Frames-Animation-Nodes,D/I,ComfyUI animation/interpolation nodes,2,1,2026-02,-,1,0,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,GPU,No,ComfyUI Manager,No,No,Yes,Yes,No,Image list,Animated GIF/MP4,6,5,6,6,6,5,5,5,Single contributor; immature,Node integration,Batch animation helper,FFmpeg/MoviePy,Candidate
ryanontheinside/ComfyUI_RyanOnTheInside,https://github.com/ryanontheinside/ComfyUI_RyanOnTheInside,D/I/K,Reactivity nodes (audio/motion/flex),0,0,2026-07,-,1,0,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,GPU,Yes,ComfyUI Manager,No,No,Yes,Yes,No,Media + audio,Masks/effects/audio,7,5,7,7,7,5,5,5,Large node pack; needs docs,Node integration,Motion/audio reactivity,Custom,Candidate
WhatDreamsCost/WhatDreamsCost-ComfyUI,https://github.com/WhatDreamsCost/WhatDreamsCost-ComfyUI,D/G,LTX Director + custom nodes,1773,212,2026-07,-,2,85,Moderate,GPL-3.0,n/a,Yes (copyleft),Source,Win/WSL2/Linux/macOS,GPU,Yes,ComfyUI Manager,No,No,Yes,Yes,No,Workflow JSON,Video frames,7,5,7,7,7,5,5,5,GPL; LTX focused,LTX nodes,LTX workflow reference,ComfyUI native,Candidate
kylemath/Generation,https://github.com/kylemath/Generation,D,Local FLUX/SDXL generator,0,0,2025-10,-,1,0,Low,MIT,Model dependent,Yes,None,Win/WSL2/Linux/macOS,GPU,Yes,pip,No,No,Yes,Yes,Yes,Prompt,Image,7,5,6,7,6,4,5,5,Single contributor; minimal,ComfyUI wrapper,Simple image CLI,ComfyUI,Candidate
GenericJam/margarine,https://github.com/GenericJam/margarine,D,Elixir FLUX/SDXL wrapper,0,0,2026-01,-,1,0,Low,MIT,Model dependent,Yes,None,Win/WSL2/Linux/macOS,GPU,Yes,mix/mix,No,No,No,No,Yes,Prompt,Image,6,5,6,5,5,4,5,5,Elixir niche; not Python native,API adapter,Elixir reference,ComfyUI,Rejected
opentoonz/opentoonz,https://github.com/opentoonz/opentoonz,F,Professional 2D animation suite,7251,811,2026-06,v1.8.0rc,120,222,Extensive,Other (Toonz custom),n/a,Yes,None,Win/Linux/macOS,CPU/GPU optional,Yes,Build from source,No,No,No,No,No,Timeline/Xsheet,Raster/vector animation,8,8,7,3,4,8,4,3,No CLI/API automation,Scripting layer (Python?),Studio 2D suite,Blender,Audited
synfig/synfig,https://github.com/synfig/synfig,F,Vector 2D animation,2239,420,2026-07,-,100,724,Good,GPL-3.0,n/a,Yes (copyleft),Source,Win/Linux/macOS,CPU,Yes,Build,No,No,No,No,No,Vector layers,Animation file,7,7,6,3,4,8,4,3,No AI automation; CLI limited,Render automation,Vector animation fallback,Blender,Candidate
NickTiny/Tiny-2D-Rig-Tools,https://github.com/NickTiny/Tiny-2D-Rig-Tools,F,Blender Grease Pencil rigging,0,0,2024-05,-,1,0,Moderate,Verify,n/a,Verify,None,Win/Linux/macOS,CPU/GPU optional,Yes,Blender addon install,No,No,No,No,No,Grease Pencil objects,Rigged character,6,7,6,4,4,6,5,4,Single contributor; experimental,Asset pipeline,Blender 2D rig helper,Blender manual,Candidate
nadalpiantini/coa_tools,https://github.com/nadalpiantini/coa_tools,F,COA Tools cutout animation for Blender,0,0,2024-09,-,1,0,Moderate,Verify,n/a,Verify,None,Win/Linux/macOS,CPU,Yes,Blender addon,No,No,No,No,No,Sprites,Cutout rig,7,7,6,4,4,7,5,4,Not actively maintained?,Audit/update,Blender cutout,Blender Grease Pencil,Candidate
The-SPA-Studios/2d-anim-addon,https://github.com/The-SPA-Studios/2d-anim-addon,F,SPA 2D animation Blender addon,10,3,2026-02,-,5,1,Moderate,GPL-3.0,n/a,Yes (copyleft),Source,Win/Linux,CPU/GPU,Yes,Blender addon,No,No,No,No,No,Grease Pencil,Animation scene,7,6,6,3,4,7,5,3,Requires SPA Blender build,Fork/adapt,Studio Grease Pencil tools,Blender,Candidate
zeikar/iki,https://github.com/zeikar/iki,F,Open web 2D puppet engine,2,0,2026-06,-,1,0,Moderate,MIT,n/a,Yes,None,Web (browser),None,Yes,npm,No,No,No,No,No,Layered parts + params,.iki model,5,5,5,5,4,5,6,5,Very early; editor not ready,Wait/fork,Web puppet runtime,Blender/Rive,Candidate
firebound/proscenio,https://github.com/firebound/proscenio,F,Photoshop→Blender→Godot cutout,1,0,2026-05,-,1,0,Moderate,Other,n/a,Verify,None,Win/Linux/macOS,CPU/GPU,No,Photoshop/Blender/Godot,No,No,No,No,No,PSD + Blender scene,Godot scene,6,6,6,3,3,6,5,4,Requires artist manual rig,Automation bridge,Cutout pipeline reference,Blender,Candidate
ksvslk/cartoon2d,https://github.com/ksvslk/cartoon2d,F/G,AI prompt-to-animation cartoon,0,0,2026-03,-,1,0,Low,MIT,n/a,Yes,None,Web (Cloud Run),GPU,No,npm/docker,Yes,No,No,No,No,Story prompt,MP4,7,5,6,4,5,4,5,5,Requires Gemini API; single contributor,Replace Gemini with local,Cartoon automation reference,Custom,Candidate
Wan-Video/Wan2.1,https://github.com/Wan-Video/Wan2.1,G,Official Wan 2.1 video generation,0,0,2025-12,-,20,0,Excellent,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,8GB+ (1.3B) / 24GB+ (14B),No (slow),pip,No,No,Yes,Yes,Yes,Prompt / image / video,Video,9,7,8,8,8,6,5,4,Motion quality good but not perfect; characters may drift,ComfyUI node + prompt engineering,Primary generative video,LTX Video,Selected
Lightricks/LTX-Video,https://github.com/lightricks/ltx-Video,G,Official LTX-Video,10702,1084,2026-01,-,10,96,Excellent,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,24GB+ recommended,No,pip,No,No,Yes,Yes,Yes,Prompt / image,Video,8,6,7,8,8,6,5,4,Newer LTX2 needs 32GB; distilled path exists,ComfyUI node,Fast video backbone,Wan 2.1,Selected
Doubiiu/ToonCrafter,https://github.com/ToonCrafter/ToonCrafter,G,Cartoon keyframe interpolation,5956,530,2024-05,-,6,0,Good,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,24GB,No,pip,No,No,Yes,Yes,Yes,Two cartoon images,Interpolated video,8,7,7,6,6,5,5,4,Low resolution (512x320); 16 frames,ComfyUI node / custom,Cartoon motion interpolation,Wan I2V,Selected
deepbeepmeep/Wan2GP,https://github.com/deepbeepmeep/Wan2GP,G,All-in-one generative app (Wan/LTX/Flux),7000,0,2026-07,-,1,0,Moderate,Verify,Model dependent,Verify,None,Win/WSL2/Linux,6GB+ (select models),Yes,pip,No,No,Yes,Yes,No,Prompt / image,Video/image/audio,8,6,7,7,7,5,5,5,Single contributor; license verify; Windows UI,CLI adapter,One-stop local UI,ComfyUI,Candidate
Tencent-Hunyuan/HunyuanVideo,https://github.com/Tencent-Hunyuan/HunyuanVideo,G,HunyuanVideo text-to-video,0,0,2025-10,-,20,0,Good,Verify,Hunyuan license (verify),Verify,Model card,Win/WSL2/Linux/macOS,24GB+,No,pip,No,No,Yes,Yes,Yes,Prompt,Video,9,6,7,7,7,5,5,4,License/commercial restrictions need audit,ComfyUI node,High-quality video alternative,Wan 2.1,Candidate
Stability-AI/AnimateDiff,https://github.com/Stability-AI/AnimateDiff,G,Animate still images with motion,0,0,2023-08,-,5,0,Good,Apache-2.0,Model dependent,Yes,Model card,Win/WSL2/Linux/macOS,12GB+,No,pip,No,No,Yes,Yes,Yes,Image + prompt,Video,6,5,5,7,7,5,5,4,Limited motion; older tech,ComfyUI node,Motion fallback,Wan I2V,Candidate
DanielSWolf/rhubarb-lip-sync,https://github.com/DanielSWolf/rhubarb-lip-sync,H,2D mouth shape from audio,0,0,2024-02,-,1,0,Excellent,MIT,n/a,Yes,None,Win/macOS/Linux,CPU,Yes,Binary,No,No,Yes,Yes,Yes,WAV/OGG,Mouth shapes/timestamps,6,7,6,8,9,8,8,3,Requires hand-drawn mouth sprites; no face motion,Mouth sprite pipeline,2D cartoon lip-sync,MuseTalk,Selected
TMElyralab/MuseTalk,https://github.com/TMElyralab/MuseTalk,H,Real-time high-quality lip-sync,6184,886,2025-09,-,20,172,Good,Other (NOASSERTION),Private dataset,Code: Yes; weights: research,Paper,Win/WSL2/Linux/macOS,6GB+,No,pip,No,No,Yes,Yes,Yes,Video + audio,Lip-synced video,9,8,7,7,8,6,5,4,License unclear; realistic faces not cartoon,Face crop + style transfer,Photoreal talking head,Rhubarb + LivePortrait,Audited
KwaiVGI/LivePortrait,https://github.com/KwaiVGI/LivePortrait,H,Face reenactment / head motion,0,0,2025-09,-,10,0,Good,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,4GB+,Yes (slow),pip,No,No,Yes,Yes,Yes,Source image + driving video,Animated face,8,7,7,7,8,6,5,4,Realistic style; cartoon may need style transfer,Stylization pass,Head/expression animation,Rhubarb,Selected
osamaaltaf-pk/Omni-Lip-Sync,https://github.com/osamaaltaf-pk/Omni-Lip-Sync,H,Windows 2D lip-sync desktop app,0,0,2026-06,-,1,0,Low,Verify,n/a,Verify,None,Windows,CPU,Yes,Binary/python,No,No,No,No,No,Sprite sheet + audio,Lip-sync animation,5,6,5,5,5,4,5,5,Windows-only desktop; no API,Headless wrapper,2D lip-sync UI reference,Rhubarb,Rejected
Rudrabha/Wav2Lip,https://github.com/Rudrabha/Wav2Lip,H,Lip-sync in arbitrary video,0,0,2021-06,-,5,0,Good,MIT,Model dependent,Yes,Paper,Win/WSL2/Linux/macOS,4GB+,Yes,pip,No,No,Yes,Yes,Yes,Video + audio,Lip-sync video,7,6,6,6,7,5,5,4,Older; lower res; quality below MuseTalk,Retrain/style transfer,Legacy lip-sync,MuseTalk/LivePortrait,Candidate
remotion-dev/remotion,https://github.com/remotion-dev/remotion,I,Programmatic video with React,53522,3877,2026-07,v4.0.490,370,186,Excellent,Other (Remotion License),n/a,Free for individuals; commercial needs license,License file,Win/WSL2/Linux/macOS,CPU,Yes,npm,No,Yes,Yes,Yes,Yes,React code,MP4/WebM,8,5,7,9,9,7,5,4,License cost for commercial; React + Node required,Component library,Motion graphics / timeline,Motion Canvas,Audited
motion-canvas/motion-canvas,https://github.com/motion-canvas/motion-canvas,I,Code-driven vector animations,19000,0,2026-07,-,30,0,Excellent,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU,Yes,npm,No,Yes,Yes,Yes,Yes,TypeScript generator code,MP4/GIF,8,4,7,8,9,8,7,3,Vector only; not photo-real,Infographic component library,Primary motion graphics,Remotion,Selected
codedbytahir/motionforge,https://github.com/codedbytahir/motionforge,I,Open Remotion alternative,62,10,2026-02,-,1,4,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU,Yes,npm,No,Yes,Yes,Yes,No,React/Next.js code,MP4,6,4,6,6,6,5,6,5,Early; single contributor,Component port,Remotion alternative,Motion Canvas,Candidate
Zulko/moviepy,https://github.com/Zulko/moviepy,I,Python video editing,0,0,2026-07,v2.1.0,200,0,Good,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU,Yes,pip,No,No,Yes,Yes,Yes,Python objects,MP4/GIF,6,3,5,9,10,8,8,2,Not a motion-graphics engine; CPU render,Compositing layer,Glue / final compositor,Remotion/Motion Canvas,Selected
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,I,Media encoding/processing,0,0,2026-07,-,1000,0,Excellent,LGPL/GPL,n/a,Yes (with compile flags),Source,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,Build or package,Yes (images),No,Yes,Yes,Yes,Media files,Media files,n/a,n/a,n/a,10,10,10,9,2,CLI heavy; wrapper code needed,Python bindings + wrappers,Encoding/post-processing,N/A,Selected
WyattBlue/auto-editor,https://github.com/WyattBlue/auto-editor,I,AI silence removal,0,0,2026-07,-,5,0,Moderate,Unlicense/Public Domain,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU,Yes,pip,No,No,Yes,Yes,Yes,Video/audio,Edited video,n/a,n/a,n/a,6,9,7,8,3,Silence cut only,Wrapper,Audio pacing,Manual edit,Candidate
hexgrad/kokoro,https://github.com/hexgrad/kokoro,J,Lightweight fast TTS (82M),0,0,2026-07,-,20,0,Excellent,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,0.5GB VRAM / CPU,Yes,pip,No,No,Yes,Yes,Yes,Text,WAV 24kHz,8,n/a,n/a,9,9,8,8,3,English-centric; limited emotion,Voice profile system,Fast narration fallback,Fish Speech / CosyVoice,Selected
SWivid/F5-TTS,https://github.com/SWivid/F5-TTS,J,Flow-matching TTS & voice clone,14903,2174,2026-07,v1.0,20,54,Excellent,MIT,CC-BY-NC 4.0,Code: Yes; weights: No,Model card,Win/WSL2/Linux/macOS,4GB+ VRAM,No,pip,Yes,No,Yes,Yes,Yes,Text + optional audio,WAV 24kHz,10,n/a,n/a,8,8,7,7,4,Weights non-commercial; slower per sentence,SRT/NC weight handling,Best voice cloning,Kokoro,Audited
FunAudioLLM/CosyVoice,https://github.com/FunAudioLLM/CosyVoice,J,Multi-lingual expressive TTS,22144,2562,2026-05,-,50,764,Excellent,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,4GB+ VRAM,Yes,pip/conda,Yes,No,Yes,Yes,Yes,Text + prompt audio,WAV 24kHz,9,n/a,n/a,8,8,7,7,3,Vietnamese support not confirmed in v3.0 docs,Language test,Multi-lingual clone,Fish Speech,Selected
fishaudio/fish-speech,https://github.com/fishaudio/fish-speech,J,Multi-lingual TTS incl Vietnamese,0,0,2026-07,-,100,0,Good,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,4GB+ VRAM,Yes,pip,Yes,No,Yes,Yes,Yes,Text + audio,WAV,9,n/a,n/a,8,8,7,7,3,v1.5 quality good; inference setup evolving,Voice profile + prompt,Multi-lingual incl. Vietnamese,CosyVoice,Selected
attevon-llc/OpenSpeakers,https://github.com/attevon-llc/OpenSpeakers,J,Multi-model TTS server,0,0,2026-04,-,1,0,Moderate,Verify,n/a,Verify,None,Linux (Docker),Variable,Yes,Docker,Yes,No,Yes,Yes,Yes,Text,WAV/MP3/OGG,8,n/a,n/a,7,7,6,6,5,License/ownership verify; 11 models but early,Docker profile,TTS router,Direct model packages,Candidate
rhasspy/piper,https://github.com/rhasspy/piper,J,Fast local TTS,0,0,2026-06,-,50,0,Good,MIT,Model dependent,Yes,Model card,Win/WSL2/Linux/macOS,CPU,Yes,pip/binary,No,No,Yes,Yes,Yes,Text,WAV,6,n/a,n/a,9,9,8,8,2,Robotic; limited voice variety,Voice list curation,CPU fallback,Kokoro,Candidate
facebookresearch/audiocraft,https://github.com/facebookresearch/audiocraft,K,MusicGen / AudioGen / AudioSeal,23292,2623,2026-03,-,40,384,Excellent,MIT,CC-BY-NC 4.0,Code: Yes; weights: NC,Model card,Win/WSL2/Linux/macOS,4GB+ VRAM,No,pip,No,No,Yes,Yes,Yes,Text prompt,WAV,7,n/a,n/a,8,9,7,7,3,Weights NC; music loop/duration limited,Loop + crossfade,Music/SFX backbone,Stable Audio 3,Selected
Stability-AI/stable-audio-3,https://github.com/Stability-AI/stable-audio-3,K,Stable Audio 3 inference/fine-tune,0,0,2026-03,-,10,0,Good,MIT,Model license: verify Stability AI terms,Verify,Model card,Win/WSL2/Linux/macOS,CPU (Small) / GPU (Medium),Yes (Small),pip,No,No,Yes,Yes,Yes,Text prompt,WAV,8,n/a,n/a,8,8,7,6,4,License/model terms need verification,Audit license,Music/SFX alternative,AudioCraft,Audited
open-mmlab/FoleyCrafter,https://github.com/open-mmlab/foleycrafter,K,Video-to-Foley sound effects,658,65,2026-06,-,2,22,Good,Apache-2.0,Apache-2.0,Yes,Model card,Win/WSL2/Linux/macOS,8GB+ VRAM,No,pip,No,No,Yes,Yes,Yes,Silent video,Foley audio,7,n/a,n/a,6,7,6,6,4,Needs silent video input; not text-to-SFX,Scene plate generation,Foley generation,AudioGen,Selected
Stability-AI/stable-audio-tools,https://github.com/Stability-AI/stable-audio-tools,K,Original Stable Audio tools,0,0,2025-08,-,5,0,Moderate,MIT,Model license: verify,Verify,Model card,Win/WSL2/Linux/macOS,GPU,No,pip,No,No,Yes,Yes,Yes,Text prompt,WAV,7,n/a,n/a,7,7,6,6,4,Older; terms complex,Audit,Stable Audio reference,Stable Audio 3,Candidate
m-bain/WhisperX,https://github.com/m-bain/WhisperX,L,Whisper + forced word alignment,23122,2345,2026-07,3.8.7rc1,110,202,Excellent,BSD-2-Clause,Model: Whisper (MIT) / pyannote (verify),Yes,Model card,Win/WSL2/Linux/macOS,<8GB VRAM,Yes,pip,No,No,Yes,Yes,Yes,Audio,VTT/SRT/JSON,n/a,n/a,n/a,10,10,9,9,2,Diarization needs pyannote model,Subtitle burn wrapper,Subtitle timing,faster-whisper,Selected
mikai-daichi/vtt-synced-voice,https://github.com/mikai-daichi/vtt-synced-voice,L,WhisperX VTT fine-tuned,0,0,2026-04,-,1,0,Moderate,Verify,n/a,Verify,None,Win/WSL2/Linux/macOS,CPU/GPU,Yes,pip,No,No,Yes,Yes,Yes,Audio,VTT,n/a,n/a,n/a,7,8,7,7,5,License verify; single contributor,Integrate if useful,VTT refinement,WhisperX,Candidate
